Tweet,HateSpeech
ker poslanci v slovenskem parlamentu prav nič niso grebatorji,2 žalitev
v novinarstvu je močan kruhoborski boja bi lahko dejali da šolstvo dobesedno bruha preveč novinarjev,2 žalitev
moja reportaza iz severne korejetravmatizirani ujetniki ideologije in geostrateškega obračuna foto,0 ni sporni govor
limbarska gora podpisa ne bo cerkev se ne premakne niti za milimeter nasprotna stran pa se je približala za krepke kilometre,0 ni sporni govor
poklon sodniku edino orožje je seznaniti javnost molk je najslabša izbira,0 ni sporni govor
kaj je neubranljivo partizanski boj za komunizem ali domobranski boj za demokracijo po koncu okupacije,2 žalitev
po mojem sploh ni opazil da nekdo za njim drži marelo in si pronoično domišljal da po njem dež pač ne pada,2 žalitev
pešci naj posebej pazijo na železne zavese ki migljajo med levim in desnim ušesom,0 ni sporni govor
državne banke pa so zajebale zakaj ker so reševale riti komu jsju zasebnikom,2 žalitev
morda zato ker je to storil kot ena debela rit moral bi iti pred poslance,2 žalitev
a veš tist ko srečaš neke entitete pa bi jih takoj polila z bencinom in zažgala pa ugotoviš da obstaja še nek drugačen pristop,3 nasilje
včasih so rekl junij julij avgust babe prmr pust zame to ne velja,2 žalitev
kako se je jonas zajebal z twittom le kaj mu je tega treba bilo mogoče pa dobi škotek od zj,1 nespodobni govor
že na prvem letošnjem teku pred biki v pamploni več ranjenih,0 ni sporni govor
danes sem sedel za mizo z veganko ki je poprej jedla postrv potem pa pomazala še sestrin ragu s kruhom,0 ni sporni govor
ce bi ti bil sexy glupa zenska z velkimi joski bi se še bal zate tko pa se bolj za druge ki te bojo srecali na poti,2 žalitev
sladki kanibalizem slovenija pocena lobanja,0 ni sporni govor
to je eden jj lokalnih medijev služi torej istemu nameni kot nora24,2 žalitev
jbtpmkomunistična povojna oblast je bila zgrajena na poboju kraji in izgonu elite slovenskega naroda,2 žalitev
in seveda rkc ki jo vodijo pedri ljudem pa pridiga da morajo biti pridni usmiljeni in ubogljivi,2 žalitev
nisem samo trolam kar se mi zdi edini konstruktiven pristop k tej kvazitemi,0 ni sporni govor
v eu ni zdravstvenega ministra ki je pred tem prodajal šajtrge in difenbahije,0 ni sporni govor
razgalili so se že zdavnaj tale reklama je samo še potrditev da je reporter prodan levici,2 žalitev
cubus postrv na žaru piščanec v omaki gobova enolončnica,0 ni sporni govor
cetrtkova terenska kolumna kitajska kapitalokomunizem,0 ni sporni govor
tega ti pa res ne bi bilo treba pisat a ni že tako dovolj butastih idej,2 žalitev
s cepivi se uničuje imunost katere nore gobe ste pa vi použili,2 žalitev
problem je da se janezu janši iz podzavesti oglašajo totalitaristična nagnjenja,2 žalitev
in bencinske bone in par neparsocialistični raj,2 žalitev
pravkar igram igro biathlon mania pridruži se in me poskusi premagati,0 ni sporni govor
no še ena dva taka protirtvjevska tvita pa bo intervju z možino namesto ene dolg tam dve do tri ure,0 ni sporni govor
čudno ne gledam enega in ne drugega,0 ni sporni govor
marionetnim lutkam se ni treba učit in delat programa program ima operater teh lutk,2 žalitev
moja mati ki je verna 70 let ne jamra da bi v komunizmu bili težko biti vernik,0 ni sporni govor
kaj je zdaj nič spojlerjev zajeban ob 3 zjutraj oči odpret ane,1 nespodobni govor
te so izključno s poti s konbijem s kamionom nimam takih dobrih fur,0 ni sporni govor
trump je še večji idiot kot sem mislila če je to sploh mogoče fearthewalkingidiots,2 žalitev
ubogi harmonikar če bi težil kakšen guslar ali tisti vsiljivi trobentači bi bilo pa super a ne,2 žalitev
dej če bom še enkat oko al la copatarico prebrala se mi no zmešalo,0 ni sporni govor
poslovni prostori izklicna cena 25100 površina 46 5 m2 gtgtgt žbe čnine,0 ni sporni govor
kakšen neverjetni izcedek živo in zdravo civilizacijo prepoznamo po odnosu do živih ne do mrtvih,0 ni sporni govor
samo rdečuhom pade na pamet zloraba molznega stroja to bo zanimivo na sodišču,2 žalitev
baje so v prve fotke prišle v medije s strani sd pr,0 ni sporni govor
revež bo prosil za premestitev predlagam,0 ni sporni govor
nikjer ne piše da je bilo lani toliko posilstev 7 je kumulativa,0 ni sporni govor
tako nizko slovenska kultura še ni padla ni čudno da nam vsi drugi družbeni podsistemi razpadajo,2 žalitev
bine kordež predčasno izpuščen iz zapora primorska24,0 ni sporni govor
komu najpred veselo kozarec zase vzdignimo ni take je mladenke srce razjasni in oko da rojak zarod nov si spone ki jim še teže,0 ni sporni govor
ni čudno da fuzbalerjem in trenerjem včasih poči živec in dajo press na hladno kakšno pretiravanje,2 žalitev
američani nameravajo iraško proiransko milico aah razglasiti za teroristično organizacijo,0 ni sporni govor
afganistanski migrant znanec policije ki je že nadlegoval dekleta do smrti zabodel 18letnika via,0 ni sporni govor
eular 2015 z ultrazvokom prikazano vnetje kitnih ovojnic močan zgodnji napovednik revmatoidnega artritisa,0 ni sporni govor
akcija v septembru podaljševanje trepalnic 1 refil 20 popust pri naši t via,0 ni sporni govor
drži ampak ne gre spregledati da mularija živi v državi ki jo je pučnik soustvarjal,2 žalitev
železarji ostajajo nerešljiva uganka za olimpijo via,0 ni sporni govor
če bi senad alkohol spravili zako kot nad cigarete bi bilo mogoče drugače ni volje pa še tole preberi,0 ni sporni govor
terenski obisk poslanske skupine sd v kočevju ogled podjetja intersocks,0 ni sporni govor
delodajalci in sindikati neusklajeni glede višine minimalne plače 2018 to pomeni da bo obveljal predlog ministrice o 4 7 zvišanju,0 ni sporni govor
tole o telekomu je pa zaprl gobec gobcacu o reklamiranju v desnih medijih razen če ni tudi on v davcni oazi,2 žalitev
božič bi se lahko na dunaju končal tragično avstrijske oblasti preprečile teroristični napad via,0 ni sporni govor
niso mogli izginiti ker jih enostavno ni bilo tovariši marksisti težko boste kolo zgodovine zavrteli nazaj,2 žalitev
samo prijazni telefonski vodički skozi težave se lahko zahvalim da danes berem tvite,0 ni sporni govor
so protiustavne,0 ni sporni govor
min s sodelaci pred hum org veleposla sr bih in hr se udeležujejo ses pvrs o poplavah,0 ni sporni govor
blasfemija fotografiranje golih žensk v dubrovniški cerkvi razjezilo hrvaške vernike,2 žalitev
v murglah je baje nekdo napadel poštarja za denar poglejte pri kučanu cerarju ali golibiču,2 žalitev
prijave z vplacilom čimprej do zasedenosti prostih mest oziroma do 2 december,0 ni sporni govor
je pač dober prodajalec prodal kup za zlato ne se zdaj pizdit na njega,2 žalitev
globalizacija ne sme iti dlje ponekod je dosegla skrajne meje,0 ni sporni govor
v sloveniji bi slo skozi narod bi jo volil sam da jo taravi komiji pradstavijo kot novi obraz,2 žalitev
lepše fasade parkirišča tud nizje parkirnine mesto izgleda kot da razpada,0 ni sporni govor
v bistvu je to popolnoma zrelo za prijavo na nevaren folk pač mora za zapahe,2 žalitev
to je verjetno sam zato da bodo dvignili prispevek in rekli da niso sli tko dalec kot bi lahko,2 žalitev
komunisti imajo dober rek uporabi prežveči izpljuni in pogazi,2 žalitev
naši socialisti imajo raje kaviar,2 žalitev
sem milsil napisat da si mlada ker se ti da v tej vročini v center hodit in to z busom pa ne bom,0 ni sporni govor
z zaščito pred zunanjimi tehnicnimi sevanji s faradayevo kletko z feromagnetnim prelazom ali metalizirano tkanino,0 ni sporni govor
dorektorico sng celje proglasil za butaro ki ni prepoznala da gre za provokacijo in se sporazumel za milo kazen,0 ni sporni govor
kronika filmski beg tujega voznika na območju slovenske istre in uničena slovenska marica,0 ni sporni govor
božo regratov solat je dober za libido a kozel ti bo dal moč v moda,0 ni sporni govor
ti si se pa prodal vidim s to podporo šarcu in to najbrž za male pare,2 žalitev
navijam za angleze stavu sem pa na hrvate kurc v vsakem primeru sem zmagugremo zdej hrvati,1 nespodobni govor
pišuka viš kuk si jih rabu ko jih 20 let nis pogrešu,0 ni sporni govor
dlake jih motijo pa slina pa verjetno tudi pozitivna energija ki jo psi oddajajo,0 ni sporni govor
daj se še potrudi pa najdi lobanje iz taborišč nacizma in fašizma ne bo težko poguglat,0 ni sporni govor
zapelji se na izlet do branika na kras in pri orlu dobiš boljši ovčji sir kot je paški in še za polovico cene,0 ni sporni govor
kaj vse se lepi na ta rknpmusar ranata brunskule in še keberkatapultira pa politika v humanitarni obliki,0 ni sporni govor
venera jap daleč najbolj vidna s prostim očesom podobna a dosti manjša pikica je mars,0 ni sporni govor
hecni ste v tej samozadostni in ozkogledni zaverovanosti take državljane imajo politiki najraje namesto glave radar,2 žalitev
res je ampak nekatere kurtizane včasih začnejo misliti da to niso več,2 žalitev
dej raj bajadero kafe te bo zavrtelo kot bi te kljunil kalimero,0 ni sporni govor
pravkar sem si odstranila klopa po koliko časa me lahko panika začne grabit če na mestu ugrizavboda rdečica ne izgine,0 ni sporni govor
resnica boli ja ti pa kar pritisni saj te itak težko prenašam,2 žalitev
kje smo že takrat igral vem da je našel eno lepo telovadnico nekje izven lj,0 ni sporni govor
živo mejo režem že trikrat šprintal pred osami meterno dost mam več lauflem okol pa krilim z rokami kot režem,0 ni sporni govor
to reče nekdo ki bi bil rad dejavnik je pa gasilec nepričakovanih dogodkov,2 žalitev
zibelka demokracije četudi to že dolgo več ni naredili bomo most ki bo še lepši in še starejši,0 ni sporni govor
zadnji teden pred šolo pa se poigrajmo še z nekaj ugankami,0 ni sporni govor
ideja za nedeljski zajtrk d ajurvedske veganske in brezglutenske palačinke jajca in gluten so malce težje,0 ni sporni govor
naučite se nadzorovati svojo impulzivnost in se vedite bolj razumsko,0 ni sporni govor
vcasih se je prešernove nagrajebce prepoznaval po inteligenci danes po idiotizmu in kretenizmu,2 žalitev
vidim da so vse max 737 grounded,0 ni sporni govor
tehnične enotertg šifrantismo dobili kvečjemu mavzerice,0 ni sporni govor
unicef v jemnu več kot sedem milijonov otrok ogroža lakota,0 ni sporni govor
pa sej ze samo njegov fb pogledas pa vidis da je tip verski blaznez s katerim je vsaka komunikacija neproduktivna in nesmiselna,2 žalitev
ej a ne bi ti preventivno varovalk izklopila ali pa vsaj stikala za luc,0 ni sporni govor
oglaševalci to že vedo tudi drugi mediji praviloma izklapljajo oglase pri novicah iz črne kronike,0 ni sporni govor
milijonski plinski posel še zdaleč ni edina naveza grosupeljske sds z zoranom jankovićem,2 žalitev
še večja jeba bi bila če bi imela moža in otroke pa ne bi imela ljubčka,1 nespodobni govor
v mariboru so tri kandidatke tako da se nimamo kaj pritoževat in lahko usrane dedce odpikamo,2 žalitev
pravkar igram igro biathlon mania pridruži se in me poskusi premagati,0 ni sporni govor
nikoli ni ocenjujemo v skrajnih legah za dobro dg vrednost nistagmusa potrebujemo frentzlova očala,0 ni sporni govor
pa kadar pride domu gre se zmeri k isti frizerki,0 ni sporni govor
lmš sab in smc so liberalne stranke grem malo bruhat,2 žalitev
imate pametno masažno kad hekerji vas lahko v njej skuhajo,0 ni sporni govor
preobrazba nekdanjega skladišča na ptuju v šarmantno družinsko hišo,0 ni sporni govor
vreme meja sneženja se bo počasi spuščala,0 ni sporni govor
butast ksiht nesposobnega kretena medtem ko ga masira slak,2 žalitev
sam mi smo vsako leto jedli poli salamo pa pili pingo sok ceprav je tovarsica vsako leto opozarjala kaj se zna zgodit,0 ni sporni govor
trump in kim podpisala pomemben dogovor naši politiki pa ene koalicije ne morejo sestaviti,2 žalitev
bo eno lubenico stlaču v svoja usta verjem bo boljto mu edino sedeje rdeče,2 žalitev
čilenski ibra obnorel nogometno evropo,0 ni sporni govor
prostor hammama orientalska nižjetemperaturna savna z masažo in prhe s svetlobnimi zvočnimi in vodnimi efekti,0 ni sporni govor
en brihtol manj pojest posnetek pogledat pa potem sodit pepel za posipat prinesite sami p,2 žalitev
a ne zdravilo arthemender za zdravljenje putike za noneta dragovega očeta,0 ni sporni govor
kolikor jaz vem še ne so bile presajene sem notri nedolgo nazaj,0 ni sporni govor
golico zapoješ potem ko si zadrgneš tisto črno kravato tomaž tisto črno kravato še imate tista bila je res dobra,0 ni sporni govor
briga ga zate ti si za njega sirota njemu so pomembni le znani,2 žalitev
dinar ne smrdi nikomur jebeš ideologijo kurbe in alkohol se plačuje z denarjem,1 nespodobni govor
če je pa tebe blokiral se lahko močno zamislimo vsi,0 ni sporni govor
zarisati jasno mejo med nami in vami se pogovoriti tudi o konkretnih podrobnostih ter vse zapisati,0 ni sporni govor
tri stvari so pomembne za koliko generacij boste zapufali s slabo strokovnostjo,2 žalitev
še en pogoreli pogorelecponoreli ali pogoreli ni razlike press,2 žalitev
navadna policija internet policija policija za avto tablice zbiram ideje kaj bo naslednje področje kjer bomo malo policajali,2 žalitev
dvoje dejstev ne komuniciram s tabo ampak s psihopatom jegličem nimam se za normalnega ti se imaš,2 žalitev
mhh prava rec mene je posledila metallica in ritvitala melanija p,0 ni sporni govor
najprej se poliže čokolada s pene pol sama pena in nato piškot,0 ni sporni govor
nagradna igra ugani kdo je priden in trenira da mu bodo srajce še manj prav čez ramena,0 ni sporni govor
pokvarjenci pokvarjen da vas sram ni mafija,2 žalitev
hvala da si dodal radiatorje ker sem se ze malo spraševala kako naj zrak iz mehurja spravim ven,0 ni sporni govor
sorry ampak samo jamranjenič optimizmavedno so drugi krivikako tipičnoče iščeš slabe stvari jih boš našel,2 žalitev
relaksacijo je treba previdno dozirat da telo ne doživi prevelikega šoka,0 ni sporni govor
postanite voznik prodajalec žba,0 ni sporni govor
rabim mašin neki mihnega za na majčko prheftat ne laufam s telefonom,0 ni sporni govor
plastika se bolj ali manj reciklira s pvc so težave zaradi klora,0 ni sporni govor
zapufal sem se sam za bajto za kej druzga pa tud pod razno ne posebi ne za nov avtp,0 ni sporni govor
jst pa cist nedolzno hotu vprasat kdo je notranja in kdo zunanja zlicka,0 ni sporni govor
te butli ki so danes v dražgošah so še vedno na nivoju 45ga kot da se niso dejstva o nob spremenila za 360 stopinj,2 žalitev
sej grem zdele k se sola zacne vse delat da cimprej zacnem vozt d,0 ni sporni govor
pravkar igram igro biathlon mania pridruži se in me poskusi premagati,0 ni sporni govor
