Tweet,HateSpeech
po moje so že tam in so pred časom k nam prileteli tako da bi z izstrelitvijo počakal,sovrazni
to je lahk človk še ne vem kolk depressed ko ga to sprav v dobro voljo,sovrazni
in ne zgolj to po trejlerju sodeč je lisbeth salander nov batman,nesovrazni
pravi povolilni golaž cmarim že 4 ure jutri bo fešta v družini kar trije prvoobhajanci,nesovrazni
levice so polna usta človečnostiahmad za stotisoče slovencev ki živijo pod pragom revščine to ne velja,nesovrazni
zaradi rogljiča tak cirkus zaradi davkov ko pa so šli milioni in miljarde v oaze pa tihoprav je naredil in to javno oznanil,sovrazni
so debila ki je pred meseci po kolesarski progi napeljeval žico med drevesi vrli varuhi zakona že našli,nesovrazni
in najbolj nagravžno ker klerotalibanka kaže na modela zgoraj,nesovrazni
me prav zanima če nam bo in kako voščil naš kurc,nesovrazni
včeraj smo prvič cufali na v novem študijskem letu,sovrazni
a ni že izraz levi in desni sodniki katastrofalen sploh v kontekstu sojenja,nesovrazni
vodilni so v zadnjem gresili fak ne deset sekund za novo medaljo,sovrazni
kaj ni to tisti ki se je kotalil po parlamentu v šlosarskem kombinezonu,nesovrazni
povrh vsega uničili 99 arhivov kar je ostalo pa še preprečili vpogled očitno res vse čisto po merilih,nesovrazni
to pa zgleda kot mešanca med pujskom in ovcotega pujsa lahko briješ kot ovco kaj bo to zdej 100 pujsja volna,sovrazni
tole je majster samo po nove gume skočil ker ko ukradejo platišča avto odložijo na tla ne pa tkole skrbno podložijo,nesovrazni
rokometaši se ne predajajo selektor vujović napovedal spremembe,sovrazni
mladina ni slovenski medij je udbovski medij v slovenščini,sovrazni
bos sedela z mano,sovrazni
ni največji problem v tem da politiki stresajo takšne nebuloze huje je da jih msm nekritično povzemajo in celo zagovarjajo,nesovrazni
ko je vaš minister gašperič na hearingu trdil da slovenija drugega tira še 20 let ne potrebuje ste bili čisto tiho,sovrazni
za eno obamovo svetovalko je tvitnila da je kokr otrok muslimanske bratovščine in planeta opic,nesovrazni
16 velikonja najprej z lepim preigravanjem v kazenskem prostoru nato pa še rutiniran zaključek za vodstvo budafoki mte 01,sovrazni
mi smo doma temu rekli rožica med rožicami so se vedno tudi v cvetlični gredi skrivali in kukali ven,sovrazni
baje se vazelinnarjem in židanusd v sanjah prikazujejo fašisti večini čez dan pa komunisti vzporeden svet v vzgoji prašičev,nesovrazni
kako pa izgleda to ideolosko oz neideolosko urejanje prometa,nesovrazni
zda in zavezniki skušajo zasluge za uničenje islamske države pripisati sebi,sovrazni
na a kanalu pa našteli veliko afer bmv lažni magisterpa tako mlad,nesovrazni
ko to rdeče babše postaviš pred dejstvo te pa blokira,sovrazni
misli da ve kako se tej reči streže ampak tokrat se mu utegne načrt sfižiti propaganda gor al dol,sovrazni
to se mi sliši kot bi v sili vsak še muhe žrl čas je za novo stranko tretja pot,nesovrazni
nima veze s socializmom saj poznate poskuse z elektrosoki ljudje pač raje izberejo komformizem kot zdravo pamet,sovrazni
levica sestradanim beguncem mesečno stisne 30 eur v roko sebi pa 1900 v žep temu pravi človekoljubnost,sovrazni
ti razumniki ali nerazumniki se večinoma napajajo pri koritu,nesovrazni
že sedaj se vidi iz poročil v medijih da so balkanski varnostniki menda zlizani z kriminalom,nesovrazni
itak nujno julen se lahko izvleče le če real ta teden izdatno nabije plzen in barco čeprav lahko pade celo že jutri,nesovrazni
se priporočam tud jaz no mi dal deko čez ki jo perem in dam v sušilec drgač pa sesalc,sovrazni
čestitke res inovativen slogan in aktivnosti upam da cse bolnišnice skupaj z akcijami uspemo dvigniti prag precepljenosti,nesovrazni
so bili to kolaboranti in narodni izdajalci bili so begunci pred komunističnim terorjem in morijo,nesovrazni
prodamo 3 sobno stanovanje v centru maribora za 105000 eur več na prodamo urejeno 3,nesovrazni
bo zaradi neustreznega načrtovanja gradnje urgentnih centrov kdo odgovarjal,sovrazni
ne mi več mazat ekrana s takim slikam zdej ga bom moral dva dni pucat,sovrazni
hvala za nagrado žal so me na fb blokirali tako da se tuki zahvalim,sovrazni
edino kar znajo se znajo zapufatto jim je že kar v navado prišlo,sovrazni
to je bilo najverjetneje namenjeno na krožnike italijanskih gurmanov najbrž dobro plačajo,sovrazni
ja pa res ne vem kako jim delujejo možgani lep dan brez dežja bo danes,sovrazni
ali pešci ki prečkajo kolesarsko ne da bi pogledali kot da so sami takle mamo,nesovrazni
cela jeba veš kaj bom naredil šel bom na en kolesarski izlet po ljubljani in lepo plačal te pizdarije na okencih,nesovrazni
nedotakljivih ne bo več to je nujno za prekinitev tranzicijskih zablod planet,nesovrazni
cel ppdan se vrti ko prdec v hlačahpàše mu amp čaka še da bo noč mirna no šip on tjusdaj,sovrazni
v ozp koalicija brani zmerjanje orbana in janše z nacistom v mladini spletni časopis,nesovrazni
glej anketo o popularnosti strank ki jo za novo tv 24 pripravlja persival,nesovrazni
ja sem preverila na poptv za nazaj po njihovih informacijah naj bi se zažgal bolnik ki je imel pri sebi vžigalice,nesovrazni
jebem jim mater a v celem posavju en šeftar nima zadnjega platišča za golfa iv,sovrazni
držijo se tehnike odkrivanja odkritega lagodno in varno,nesovrazni
učni poligon za šolsko terensko delo,sovrazni
naj bi bilo cedalje boljspa mam obcutk da je cedalje slabs,nesovrazni
po mojih izkušnah gre največkrat za kšn novokvarjen kos strojne opreme če se win10 tkole obešajo maš kej novega prkloplenga,nesovrazni
porodniško je treba razdelit na 50 nujno mater in 50 nujno očeta pa bodo vsi ti problemi čudežno izginili,sovrazni
lectrofan micro je dbest hoje sicer ne bo popolnoma nevtraliziral lahko pa vseeno pomaga,sovrazni
čestitamo vsem nagrajencem še posebej pa arhitektom dekleva gregorič za nagrado prešernovega sklada,sovrazni
danes bi lahko spala do enajstih če bi želela ker nimam fizioterapije uganite kdo je že 10 minut zbujen,nesovrazni
kaj kapitalizm komunisti ti šele prodajajo zrak,nesovrazni
fanta pojdita raje gnoj premetavat bo več koristi ne pa vajinim staršem sramoto delat,nesovrazni
nevladniki pozivajo ministrstvo k prepovedi baterijske reje bolj nujno halal in kušer zakola,nesovrazni
sony xperia go je dober telefon ampak servis ki ga ima je pa katastrofa ni prijaznosti strokovnosti,sovrazni
lahko se vprašamo kako da sploh vodi ob taki turbo centrifugi obratov pranja možganov ob teh komi manifest praznikih,sovrazni
naj nekdo označi ki seveda ni blokiran nazy lucy naj še kaj več pove o tem kokice so pripravljene,nesovrazni
novi čudežni deček slo desnice se oglaša iz prestolnice demokracije budimpešte,nesovrazni
naloga medijev je pa da ga dajote na 100 ignore razen nacističnih,nesovrazni
v slo bodo še naprej volkovi medvedi in zajci ne bo več recimo in podobne družbeno nekoristne navlake,nesovrazni
klovn so ga že nagnali iz nl tam lenuhov ne rabijo,sovrazni
zavedni slovenci ne dopostujejo na hrvaškem sicer pa se je pustijo le ped,sovrazni
vrla punca malo eno cunjico nacufa pa vsa črna čreda podivja in niti rdeča ni ta krpa,sovrazni
dohtarji vedo povedat da so se po bolnicah razpasle plave sestre zato je treba s sindikatom v napad češ da so preobremenjene,nesovrazni
in ljudstvo še kar podpira udboforum21 kriminalce to podalpsko pleme slovenceljnov ima res vakum v glavah,sovrazni
haha izbira igralca gotovo namiguje na to drgač pa še kar bolan cast,sovrazni
če je novkovič predstavnik gospodarstvenikov se ne čudim da je naša ekonomija v kurcu ča,sovrazni
na našo pevko za zvečer v vinotoču tržnice koseze,sovrazni
ko novi obrazi v levici govorijo o humanitaranosti kot razlogu da so se pridružili levici se kordišu v ozadju dela velik cmok v grlu,sovrazni
nenasvet zlate ribicekormorani in ribe ne morejo skupaj živeti pod vodo,sovrazni
jih je tudi precej orto levičarjev ki so me blokirali in kao sredinski brez skrbi,nesovrazni
potovanja po svetu z raketami v nekaj minutah na drugem koncu sveta,sovrazni
to ni čudno ampak skladno z volilnim izidomkretensko,nesovrazni
na tvju je zvezdana na mute v glavi pa slišim artača z smejim se,nesovrazni
čez 14 dni bo verjetno jamral da se v šoli sončkom premalo individualno posvečajo,nesovrazni
joj mi dvignejo pritisk izjave da imamo dovolj lačnih otrok tu ne moremo še za tuje poskrbetme zanima če so ti ljudje kdaj našim pomagali,sovrazni
poleg tega dnevno ustrahuje uslužbence oš kamor hodi njegova hčerka nič mu ne morejo,sovrazni
noben pastir krav ne more rešiti pred nasilnim medvedom za to so potrebni lovci,nesovrazni
mafijsko je futura ki na trgu ne blesti dobila 3miljonski posel z židanom vse kaže na dogovorjen koruptivni posel strankesd,sovrazni
imo nimajo nikakršne omembe vredne baze fanov sploh po fiasku z goljufanjem,nesovrazni
24letnik je ustrahoval osebje v šempetrski bolnišnici grozil jim je z nožem,sovrazni
triti štuk u mriže prevod tretje nadstropje v mreže,nesovrazni
popoln osebni in poslovni uspeh je serija brezplačnih webinarjev ki jih je za nas pripravila saša einsiedler,sovrazni
okrutneža ostudna ko mi je mozeg povezal tnalo sekiro in mačko sem ugasnil v keho naj ju strpajo,sovrazni
za vsakega ki mu je potekel rok trajanja dobiš 1 mi na pokopališču,nesovrazni
ko se neumnost in sovražnost združita proizvedeta simono škoda pa tako ljubka deklica si bila,nesovrazni
še enkrat slovenska vojska nima kaj iskati v u slovenski vojaki po napadu irana zapuščajo,sovrazni
med uspešnimi v vladi je kar nekaj konkurence dve sta morda res pri vrhu po uspešnosti uničevanja svojega resorja,nesovrazni
oglas za nogometno tekmo slo ima nov dres pridite in si ga oglejte v živo odpustite osebo v marketingu,nesovrazni
hahahaha zdaj že magijo prodajajo kot orožje d d d,sovrazni
to ni kretenizem to je bolezen in kot vsako drugo živo bitje si zasluži pomoč in usmiljenje,sovrazni
ni slabo tudi zavarovat stanovanja za namen oddajanja,nesovrazni
če kdo v tej državi ga zagotovo razumeš ti žal je vajinih sledilcev premalo da bi se v političnih glavah kaj premaknilo,nesovrazni
ubogi komunistični ritolizniki ker nimajo pameti se povsem prodajo,nesovrazni
če ne vidijo da se peljejo po pasu rezerviranem za buse je čudno da se zaletijo,nesovrazni
sramota da se kupujejo taka pregrešno draga vozilakaj pa reševalni helikopterji to pa nobenem ni mar,sovrazni
kako pameten tajkun pravočasno zapre posel in zabriše sledi za seboj,nesovrazni
na facebooku sem objavil 12 slik v albumu detektiranje izkop in uničenje letalske bombe ostaline druge sv,sovrazni
ček tonček je vsako jutro zgodaj vstal in preštel čice,nesovrazni
protest babic in dedkov pred televizijo wdr kjer so otroci prepevali o babici okoljski svinji via,sovrazni
ko pa zaradi putina zablokirajo pol slo to ni problem za nebulozatorko,nesovrazni
ne vem če je glih pica ključ do ženskih src,sovrazni
mogoče ga pa lahko prepričaš da začne spremljat fuzbal in manunited,nesovrazni
poženščeni moški vodijo seminarje za prave moške in ustvarjajo budalaste moške,sovrazni
pohvalno za defenzivno in voznikom prijazno vožnjo glede bontona teh treh voznikov pa dobrota je sirota,nesovrazni
sej tonavajena na kamot pa široko in ohlapnozdaj pa ti eleganco iz tega potegn,sovrazni
ali nekdo spušča ognjemete ali pa strelja petkrat v vsakem primeru pa wtf,sovrazni
