Tweet,HateSpeech
po moje so že tam in so pred časom k nam prileteli tako da bi z izstrelitvijo počakal,2 žalitev
to je lahk človk še ne vem kolk depressed ko ga to sprav v dobro voljo,2 žalitev
in ne zgolj to po trejlerju sodeč je lisbeth salander nov batman,0 ni sporni govor
pravi povolilni golaž cmarim že 4 ure jutri bo fešta v družini kar trije prvoobhajanci,0 ni sporni govor
levice so polna usta človečnostiahmad za stotisoče slovencev ki živijo pod pragom revščine to ne velja,0 ni sporni govor
zaradi rogljiča tak cirkus zaradi davkov ko pa so šli milioni in miljarde v oaze pa tihoprav je naredil in to javno oznanil,2 žalitev
so debila ki je pred meseci po kolesarski progi napeljeval žico med drevesi vrli varuhi zakona že našli,0 ni sporni govor
in najbolj nagravžno ker klerotalibanka kaže na modela zgoraj,0 ni sporni govor
me prav zanima če nam bo in kako voščil naš kurc,0 ni sporni govor
včeraj smo prvič cufali na v novem študijskem letu,2 žalitev
a ni že izraz levi in desni sodniki katastrofalen sploh v kontekstu sojenja,0 ni sporni govor
vodilni so v zadnjem gresili fak ne deset sekund za novo medaljo,2 žalitev
kaj ni to tisti ki se je kotalil po parlamentu v šlosarskem kombinezonu,0 ni sporni govor
povrh vsega uničili 99 arhivov kar je ostalo pa še preprečili vpogled očitno res vse čisto po merilih,0 ni sporni govor
to pa zgleda kot mešanca med pujskom in ovcotega pujsa lahko briješ kot ovco kaj bo to zdej 100 pujsja volna,2 žalitev
tole je majster samo po nove gume skočil ker ko ukradejo platišča avto odložijo na tla ne pa tkole skrbno podložijo,0 ni sporni govor
rokometaši se ne predajajo selektor vujović napovedal spremembe,2 žalitev
mladina ni slovenski medij je udbovski medij v slovenščini,2 žalitev
bos sedela z mano,2 žalitev
ni največji problem v tem da politiki stresajo takšne nebuloze huje je da jih msm nekritično povzemajo in celo zagovarjajo,0 ni sporni govor
ko je vaš minister gašperič na hearingu trdil da slovenija drugega tira še 20 let ne potrebuje ste bili čisto tiho,1 nespodobni govor
za eno obamovo svetovalko je tvitnila da je kokr otrok muslimanske bratovščine in planeta opic,0 ni sporni govor
16 velikonja najprej z lepim preigravanjem v kazenskem prostoru nato pa še rutiniran zaključek za vodstvo budafoki mte 01,2 žalitev
mi smo doma temu rekli rožica med rožicami so se vedno tudi v cvetlični gredi skrivali in kukali ven,2 žalitev
baje se vazelinnarjem in židanusd v sanjah prikazujejo fašisti večini čez dan pa komunisti vzporeden svet v vzgoji prašičev,0 ni sporni govor
kako pa izgleda to ideolosko oz neideolosko urejanje prometa,0 ni sporni govor
zda in zavezniki skušajo zasluge za uničenje islamske države pripisati sebi,2 žalitev
na a kanalu pa našteli veliko afer bmv lažni magisterpa tako mlad,0 ni sporni govor
ko to rdeče babše postaviš pred dejstvo te pa blokira,2 žalitev
misli da ve kako se tej reči streže ampak tokrat se mu utegne načrt sfižiti propaganda gor al dol,2 žalitev
to se mi sliši kot bi v sili vsak še muhe žrl čas je za novo stranko tretja pot,0 ni sporni govor
nima veze s socializmom saj poznate poskuse z elektrosoki ljudje pač raje izberejo komformizem kot zdravo pamet,2 žalitev
levica sestradanim beguncem mesečno stisne 30 eur v roko sebi pa 1900 v žep temu pravi človekoljubnost,2 žalitev
ti razumniki ali nerazumniki se večinoma napajajo pri koritu,0 ni sporni govor
že sedaj se vidi iz poročil v medijih da so balkanski varnostniki menda zlizani z kriminalom,0 ni sporni govor
itak nujno julen se lahko izvleče le če real ta teden izdatno nabije plzen in barco čeprav lahko pade celo že jutri,0 ni sporni govor
se priporočam tud jaz no mi dal deko čez ki jo perem in dam v sušilec drgač pa sesalc,2 žalitev
čestitke res inovativen slogan in aktivnosti upam da cse bolnišnice skupaj z akcijami uspemo dvigniti prag precepljenosti,0 ni sporni govor
so bili to kolaboranti in narodni izdajalci bili so begunci pred komunističnim terorjem in morijo,0 ni sporni govor
prodamo 3 sobno stanovanje v centru maribora za 105000 eur več na prodamo urejeno 3,0 ni sporni govor
bo zaradi neustreznega načrtovanja gradnje urgentnih centrov kdo odgovarjal,2 žalitev
ne mi več mazat ekrana s takim slikam zdej ga bom moral dva dni pucat,2 žalitev
hvala za nagrado žal so me na fb blokirali tako da se tuki zahvalim,2 žalitev
edino kar znajo se znajo zapufatto jim je že kar v navado prišlo,2 žalitev
to je bilo najverjetneje namenjeno na krožnike italijanskih gurmanov najbrž dobro plačajo,2 žalitev
ja pa res ne vem kako jim delujejo možgani lep dan brez dežja bo danes,2 žalitev
ali pešci ki prečkajo kolesarsko ne da bi pogledali kot da so sami takle mamo,0 ni sporni govor
cela jeba veš kaj bom naredil šel bom na en kolesarski izlet po ljubljani in lepo plačal te pizdarije na okencih,0 ni sporni govor
nedotakljivih ne bo več to je nujno za prekinitev tranzicijskih zablod planet,0 ni sporni govor
cel ppdan se vrti ko prdec v hlačahpàše mu amp čaka še da bo noč mirna no šip on tjusdaj,2 žalitev
v ozp koalicija brani zmerjanje orbana in janše z nacistom v mladini spletni časopis,0 ni sporni govor
glej anketo o popularnosti strank ki jo za novo tv 24 pripravlja persival,0 ni sporni govor
ja sem preverila na poptv za nazaj po njihovih informacijah naj bi se zažgal bolnik ki je imel pri sebi vžigalice,0 ni sporni govor
jebem jim mater a v celem posavju en šeftar nima zadnjega platišča za golfa iv,2 žalitev
držijo se tehnike odkrivanja odkritega lagodno in varno,0 ni sporni govor
učni poligon za šolsko terensko delo,2 žalitev
naj bi bilo cedalje boljspa mam obcutk da je cedalje slabs,0 ni sporni govor
